Variant,Price,Tax (Filer),Tax  (Non-Filer),Image_link
Corolla Altis 1.8L 1.8 M/T ALTIS  ,"3,485,000","75,000",/-,https://toyota-central.com/Assets/images/body-types/Grande.png
Corolla Altis 1.8L 1.8 ALTIS CVT  ,"3,635,000","75,000",/-,https://toyota-central.com/Assets/images/body-types/Grande.png
Corolla Altis 1.8L 1.8 M/T GRANDE  ,"3,685,000","75,000",/-,https://toyota-central.com/Assets/images/body-types/Grande.png
Corolla Altis 1.8L 1.8  CVT GRANDE  ,"3,905,000","75,000",/-,https://toyota-central.com/Assets/images/body-types/Grande.png
Corolla Altis 1.6L ALTIS 1.6 AT  ,"3,315,000","50,000",/-,https://toyota-central.com/Assets/images/body-types/altis.png
Corolla Altis 1.6L ALTIS 1.6 MT  ,"3,165,000","50,000",/-,https://toyota-central.com/Assets/images/body-types/altis.png
Toyota Prius PRIUS  ,"9,276,500
",N/A,N/A,https://toyota-central.com/Assets/images/body-types/Prius.png
Toyota Camry Hybrid 2.5L (Base Grade)  ,"16,058,500",N/A,N/A,https://toyota-central.com/Assets/images/body-types/Camry.png
Toyota Camry Hybrid 2.5L (High  Grade)  ,"18,638,500
",N/A,/-,https://toyota-central.com/Assets/images/body-types/Camry.png
Toyota Avanza AVANZA  ,"5,796,000
",N/A,N/A,https://toyota-central.com/Assets/images/body-types/Avanza.png
Yaris 1.5 1.5  ATIV X M/T  ,"2,795,000","50,000",/-,https://toyota-central.com/Assets/images/body-types/Yaris-menu.png
Yaris 1.5 1.5  ATIV X CVT  ,"2,965,000","50,000",/-,https://toyota-central.com/Assets/images/body-types/Yaris-menu.png
Yaris 1.3 1.3 Gli M/T  ,"2,475,000","50,000",/-,https://toyota-central.com/Assets/images/body-types/Yaris-menu.png
Yaris 1.3 1.3 Gli CVT  ,"2,655,000","50,000",/-,https://toyota-central.com/Assets/images/body-types/Yaris-menu.png
Yaris 1.3 1.3 ATIV M/T  ,"2,585,000","50,000",/-,https://toyota-central.com/Assets/images/body-types/Yaris-menu.png
Yaris 1.3 1.3 ATIV CVT  ,"2,735,000","50,000",/-,https://toyota-central.com/Assets/images/body-types/Yaris-menu.png
Toyota Fortuner 4X2 AT 2.7L STD G (PETROL)  ,"7,708,000",,,https://toyota-central.com/Assets/images/body-types/fortuner-thumb-v2.png
Toyota Fortuner 4X2 AT 2.7L HI V (PETROL)  ,"8,408,000","200,000",/-,https://toyota-central.com/Assets/images/body-types/fortuner-thumb-v2.png
Toyota Fortuner 4X4 AT 2.8L SIGMA (DIESEL)  ,"9,158,000","200,000",/-,https://toyota-central.com/Assets/images/body-types/fortuner-thumb-v2.png
Toyota Fortuner 4X4 AT 2.8L TRD (DIESEL)  ,"9,408,000","200,000",/-,https://toyota-central.com/Assets/images/body-types/fortuner-thumb-v2.png
Toyota Hilux Revo 4x4 E M/T  ,"5,919,500","200,000",/-,https://toyota-central.com/Assets/images/body-types/Revo.png
Toyota Hilux Revo 4x4 G M/T  ,"6,349,500","200,000",/-,https://toyota-central.com/Assets/images/body-types/Revo.png
Toyota Hilux Revo 4x4 G A/T  ,"6,671,500","200,000",/-,https://toyota-central.com/Assets/images/body-types/Revo.png
Toyota Hilux Revo 4x4 V A/T  ,"7,048,500","200,000",/-,https://toyota-central.com/Assets/images/body-types/Revo.png
Toyota Hilux  4x4 D/C (E) M/T STD  ,"5,506,500",,,https://toyota-central.com/Assets/images/body-types/Hilux.png
Toyota Single Cabin 4x2 S/C STD  ,"3,755,500","150,000",/-,https://toyota-central.com/Assets/images/body-types/SingleCabin.png
Toyota Single Cabin 4x2 S/C UP SPEC  ,"3,785,500","150,000",/-,https://toyota-central.com/Assets/images/body-types/SingleCabin.png
Toyota Single Cabin 4x2 DECKLESS  ,"3,505,500","150,000",/-,https://toyota-central.com/Assets/images/body-types/SingleCabin.png
Toyota Single Cabin 4x4 S/C STANDARD  ,"5,105,500","200,000",/-,https://toyota-central.com/Assets/images/body-types/SingleCabin.png
Land Cruiser Prado  3.0 Diesel Turbo M/T  ,"27,944,500
",N/A,/-,https://toyota-central.com/Assets/images/body-types/Land-Cruiser-Prado.png
Land Cruiser Prado 3.0 Diesel Turbo A/T  ,"39,284,500
",N/A,/-,https://toyota-central.com/Assets/images/body-types/Land-Cruiser-Prado.png
Land Cruiser Prado 4.0 Petrol A/T  ,"41,424,500
",N/A,/-,https://toyota-central.com/Assets/images/body-types/Land-Cruiser-Prado.png
"Land Cruiser LAND CRUISER STATION WAGON GX MT 4.5L - VDJ200R (DIESEL)
  ","41,705,000
",N/A,N/A,https://toyota-central.com/Assets/images/body-types/Land-Cruiser-3.png
"Land Cruiser LAND CRUISER STATION WAGON VX AT 4.5L - VDJ200R (DIESEL)
  ","51,385,000
",N/A,N/A,https://toyota-central.com/Assets/images/body-types/Land-Cruiser-3.png
"Land Cruiser LAND CRUISER STATION VX R A/T (DIESEL) (NEW VARIANT)
  ","57,865,000
",N/A,N/A,https://toyota-central.com/Assets/images/body-types/Land-Cruiser-3.png
"Land Cruiser LAND CRUISER STATION WAGON VX AT 4.6L - URJ202R (PETROL)
  ","52,665,000
",N/A,N/A,https://toyota-central.com/Assets/images/body-types/Land-Cruiser-3.png
Rush G M/T  ,"5,636,000
",N/A,N/A,https://toyota-central.com/Assets/images/body-types/Rush-menu.png
Rush G A/T  ,"5,846,000
",N/A,N/A,https://toyota-central.com/Assets/images/body-types/Rush-menu.png
Toyota Hiace STANDARD ROOF 2.5L DIESEL  ,"6,016,500
",N/A,N/A,https://toyota-central.com/Assets/images/body-types/Hiace.png
"Toyota Hiace STANDARD ROOF 2.5L DIESEL DUAL A/C
  ","6,486,500
",N/A,N/A,https://toyota-central.com/Assets/images/body-types/Hiace.png
"Toyota Hiace HI ROOF 2.5L DIESEL DUAL A/C
  ","7,356,500
",N/A,N/A,https://toyota-central.com/Assets/images/body-types/Hiace.png
Toyota Hiace STANDARD ROOF 2.7L GASOLINE  ,"5,696,500
",N/A,N/A,https://toyota-central.com/Assets/images/body-types/Hiace.png
"Toyota Hiace STANDARD ROOF 2.7L GASOLINE DUAL A/C
  ","6,066,500
",N/A,N/A,https://toyota-central.com/Assets/images/body-types/Hiace.png
"Toyota Hiace MID ROOF 2.7L GASOLINE DUAL A/C
  ","6,626,500
",N/A,N/A,https://toyota-central.com/Assets/images/body-types/Hiace.png
Toyota Coaster High Roof 29 Seater F/L With AC   ,"14,007,000
",N/A,N/A,https://toyota-central.com/Assets/images/body-types/Coaster.png
Hiace Deluxe Standard Roof Commuter   ,"6,896,500
",N/A,N/A,https://toyota-central.com/Assets/images/body-types/HiaceDeluxe.png
Hiace Deluxe Standard High Commuter  ,"7,856,500
",N/A,N/A,https://toyota-central.com/Assets/images/body-types/HiaceDeluxe.png
Hiace Deluxe Standard High Roof Tourer   ,"8,956,500
",N/A,N/A,https://toyota-central.com/Assets/images/body-types/HiaceDeluxe.png
Hiace Deluxe Luxury Wagon High Grade  ,"11,120,000
",N/A,N/A,https://toyota-central.com/Assets/images/body-types/HiaceDeluxe.png
Hiace Deluxe Luxury Wagon low Grade  ,"9,680,000",N/A,N/A,https://toyota-central.com/Assets/images/body-types/HiaceDeluxe.png
